ip,app,device,os,channel,click_time,attributed_time
107131,12,1,30,145,57618,1000000
141908,19,21,24,213,57619,164
129394,29,1,10,213,57619,28
126461,21,2,13,128,57619,1000000
42808,3,1,43,409,57619,1000000
35691,9,1,14,232,57620,1000000
201160,19,0,21,213,57620,45
162640,4,1,19,101,57621,1000000
198008,155,1,13,213,57621,294
6375,9,1,13,215,57621,1000000
73516,9,1,13,234,57622,1000000
73487,9,1,22,234,57622,1000000
131152,2,1,19,469,57623,1000000
188719,19,40,24,282,57623,443
75931,12,1,25,265,57623,1000000
112630,12,1,22,245,57624,1000000
152728,19,0,24,210,57624,85958
64430,35,1,9,21,57624,44570
105475,25,1,13,259,57624,1000000
78500,2,1,13,477,57625,1000000
165408,3,1,19,379,57625,1000000
32753,3,1,35,280,57626,1000000
209663,9,1,13,134,57626,1000000
158625,45,1,13,213,57627,188
141840,8,1,3,145,57627,1000000
50915,3,1,37,480,57627,1000000
147046,8,1,20,145,57628,32656
119039,35,1,22,274,57628,1982
132698,18,1,34,134,57628,1000000
109676,9,1,13,134,57628,239
67441,12,1,19,205,57628,1000000
168135,136,0,38,268,57629,296
112026,8,1,19,140,57629,2522
105808,2,1,13,364,57629,1000000
71238,10,1,19,113,57629,6827
29801,12,1,20,178,57629,1000000
145286,19,211,29,213,57630,50490
44725,8,1,19,145,57630,1000000
55805,96,208,0,213,57630,61523
90004,3,1,27,452,57630,1000000
204456,14,1,6,463,57631,32
7125,5,1,19,377,57631,28678
86260,15,1,19,245,57631,1000000
49851,12,1,13,259,57632,1000000
3994,8,1,41,145,57632,1266
58100,9,1,13,442,57632,1000000
141979,3,1,40,480,57632,56
116294,19,0,21,213,57632,63275
211003,15,1,17,245,57633,1000000
175627,12,1,11,265,57633,1000000
184988,19,0,29,213,57633,62
35929,28,1,22,135,57633,1000000
154458,26,1,13,266,57634,37148
3964,1,1,22,178,57634,1000000
139232,155,1,9,213,57634,193
145283,9,1,17,442,57634,1000000
28113,35,1,6,21,57635,77549
97018,15,1,18,245,57635,1000000
45243,2,1,13,212,57635,1000000
119377,32,1,19,21,57635,70192
61161,15,1,19,245,57636,1000000
96298,18,1,13,107,57636,1000000
71149,3,1,18,417,57637,1000000
87816,8,1,10,140,57637,62209
77647,8,1,17,145,57637,1000000
130286,2,1,1,377,57637,36
138667,29,1,10,213,57637,83
103131,15,1,23,3,57637,1000000
24008,15,1,13,245,57638,1000000
140304,20,1,13,259,57638,1000000
52588,3,1,13,489,57638,1000000
73655,2,1,6,219,57639,34
151848,3,1,28,489,57639,41
83690,14,1,3,134,57639,1000000
40995,35,1,19,21,57639,415
113563,8,1,13,145,57639,1000000
123703,9,1,13,134,57640,1000000
165590,10,1,34,113,57640,33
107157,8,1,19,145,57640,75946
104692,12,1,19,178,57640,1000000
201836,19,0,0,213,57640,70
139765,12,1,13,145,57641,1000000
30587,15,1,10,140,57641,1000000
14063,9,1,19,215,57641,1000000
81981,8,1,13,145,57642,1000000
182317,8,1,36,259,57642,1000000
50420,15,1,19,140,57643,1000000
33542,15,1,13,140,57643,1000000
79877,9,1,19,134,57643,8262
109643,6,1,19,459,57643,1000000
108260,9,1,19,134,57644,1000000
172498,3,1,19,442,57644,1000000
161820,3,1,35,115,57645,1000000
198448,19,46,0,213,57645,1591
58472,18,3032,607,107,57645,1000000
160393,36,1,1,128,57645,100
33542,8,1,13,145,57645,1000000
114632,8,1,19,145,57645,29101
53651,9,1,13,134,57646,1000000
183199,2,1,6,452,57646,1000000
7593,19,0,24,213,57646,85652
54992,35,1,15,21,57646,63342
38300,251,1,19,268,57647,63134
8582,23,1,19,153,57647,1000000
13135,15,1,19,111,57647,1000000
152122,9,1,19,442,57647,72578
128965,19,33,29,213,57647,37
123673,8,1,17,145,57647,1000000
183722,29,1,19,213,57648,257
109005,9,1,25,215,57648,1000000
102813,8,1,19,140,57648,10388
6840,13,1,37,400,57648,1000000
97738,150,1,19,110,57648,68990
130834,8,1,6,145,57648,64678
145922,19,46,0,282,57648,140
97421,12,1,19,19,57649,1000000
153618,29,1,12,213,57649,46
103909,14,1,20,439,57649,4438
171114,3,1,13,137,57649,1000000
172280,9,1,14,134,57649,73660
81582,19,0,24,347,57649,35334
83140,9,1,19,258,57649,29390
188899,2,1,19,477,57649,1000000
168798,18,1,19,107,57650,57937
17460,8,1,19,145,57650,1807
107520,18,1,14,376,57650,1000000
117078,15,1,18,245,57650,1000000
62315,9,1,1,215,57651,1000000
8720,12,1,13,178,57651,1000000
152400,19,387,0,213,57651,635
17204,9,1,19,134,57651,1000000
40011,155,1,13,101,57652,172
78960,8,1,22,145,57652,1000000
86291,35,1,18,21,57652,29587
23674,9,1,22,134,57652,28265
204776,19,251,29,213,57652,78
126201,25,1,19,259,57652,1000000
69196,35,1,22,274,57653,292
99769,1,1,3,134,57653,1000000
189562,29,1,13,213,57653,373
46283,19,0,24,213,57653,423
48147,8,1,25,145,57653,1000000
73516,18,1,25,121,57653,1000000
5135,29,1,19,213,57654,30084
177490,29,1,19,101,57654,1735
26402,8,2,30,145,57654,1000000
49997,15,1,13,412,57654,1000000
189565,20,1,19,259,57655,4288
47008,8,1,34,145,57655,1000000
172887,35,1,25,274,57655,27076
56639,3,1,19,205,57655,1000000
177854,29,1,13,213,57655,63
209930,18,1,12,107,57656,1000000
105475,3,2,25,137,57656,1000000
138241,72,1,1,101,57656,169
193184,8,1,19,145,57656,1000000
17422,536,1,13,21,57657,1000000
147322,18,1,13,107,57657,81300
5314,9,2,18,134,57657,1000000
89551,9,1,13,134,57658,1000000
118324,35,1,6,21,57658,34848
8954,9,1,9,215,57658,1000000
14858,24,1,13,178,57659,1000000
135773,9,1,3,134,57659,1000000
9624,35,1,14,21,57659,36554
89266,15,1,43,245,57660,1000000
35810,3,1,12,130,57660,1000000
5918,35,1,13,274,57660,1066
114461,29,1,19,343,57660,43483
3442,35,1,13,274,57660,26255
48240,8,1,13,145,57660,1000000
50683,8,1,19,145,57661,54712
3964,12,1,19,245,57661,1000000
119357,8,1,19,145,57661,36502
191478,8,1,13,145,57661,1000000
183250,19,685,38,213,57662,130
81211,3,1,19,280,57662,1000000
131432,21,1,19,113,57662,2662
115947,35,1,19,21,57662,4062
67900,9,1,10,134,57662,83979
169684,1,1,8,134,57662,1000000
37050,35,1,6,21,57662,47725
54724,8,1,8,145,57662,1000000
90855,12,1,13,265,57663,1000000
160956,3,1,20,137,57663,64705
45765,150,1,19,110,57663,1000000
81698,50,56,24,213,57664,4364
9964,167,1,12,213,57664,77
2469,6,1,6,125,57664,1000000
209609,8,1,15,145,57665,1000000
172615,19,0,24,213,57665,38
62195,3,1,13,115,57665,1000000
73671,2,1,13,205,57665,1000000
8870,1,1,13,134,57666,1000000
112095,35,1,13,21,57666,6770
100276,8,1,3,145,57666,1000000
121894,9,1,17,215,57667,1000000
31815,2,1,19,122,57667,1000000
90790,1,1,6,134,57668,1000000
153407,3,1,13,280,57668,1441
52076,2,1,14,205,57668,1000000
154901,19,1532,0,213,57668,65
71380,23,1,18,153,57668,1000000
18839,8,1,6,145,57669,5062
174860,9,1,19,258,57669,1000000
38936,19,0,24,213,57669,35307
50825,9,1,41,134,57669,1000000
49484,19,343,0,213,57670,45197
77883,18,1,19,107,57670,1000000
48267,35,1,13,274,57670,27696
2469,8,1,25,140,57670,1000000
85065,9,1,12,258,57671,1000000
141422,72,1,19,101,57671,841
192756,14,1,19,349,57671,1000000
202071,15,1,19,140,57672,1000000
105128,15,1,13,140,57672,1000000
208513,18,1,53,107,57673,1000000
55774,1,2,19,134,57673,1000000
119476,35,1,13,21,57673,25772
72460,15,2,13,140,57673,1000000
181718,35,1,10,274,57674,61827
96037,3,1,3,480,57674,1000000
34323,78,100,67,224,57674,53136
194724,13,1,19,469,57675,1000000
83535,8,1,3,145,57675,57010
212725,15,1,23,315,57675,1000000
159118,72,1,8,101,57675,74
73487,9,1,19,134,57676,1000000
27751,18,1,35,376,57676,1000000
165911,27,1,19,153,57676,73169
124927,1,1,18,134,57676,1000000
121163,15,1,13,245,57677,1000000
184207,19,0,0,213,57677,236
11006,10,1,13,317,57677,38003
81976,12,1,15,259,57677,1000000
122891,18,1,13,121,57678,1000000
159046,9,1,42,134,57678,1000000
210354,72,1,19,101,57679,1162
73487,3,1,19,153,57679,1000000
100971,18,1,41,121,57679,1000000
100971,3,1,19,130,57680,1000000
164532,19,0,21,213,57680,93
67439,12,1,13,259,57680,1000000
96333,35,1,19,274,57681,9006
158647,19,95,21,213,57681,72
32391,14,1,13,442,57681,1000000
184583,19,0,0,213,57681,58324
69984,18,1,9,439,57681,1000000
77147,18,1,3,134,57682,1000000
106135,12,1,17,178,57682,1000000
54305,15,1,8,140,57683,1000000
3756,8,1,18,145,57683,1000000
26876,14,1,15,442,57684,1000000
47542,19,276,38,213,57684,71
166546,39,1,22,101,57684,3
95029,8,1,37,145,57685,1000000
763,35,1,10,21,57685,40725
6668,15,1,12,3,57685,1000000
133011,29,1,22,101,57686,58
75595,12,2,18,140,57686,1000000
108181,35,1,13,274,57686,29213
157047,12,1,22,245,57686,1000000
105433,12,1,19,245,57687,1000000
145920,19,0,0,213,57687,64
170623,3,1,19,130,57687,1000000
27456,3,1,13,130,57688,1000000
111931,8,1,22,145,57688,1000000
137377,8,1,16,145,57688,63624
13730,3,1,15,173,57689,1000000
9435,2,1,16,212,57689,1000000
44725,8,1,18,145,57690,1000000
141446,72,1,13,101,57690,69
200785,14,1,19,401,57690,34972
133825,9,1,18,134,57690,1000000
27482,1,1,19,115,57690,1000000
183170,9,1,8,215,57691,65288
201927,2,1,3,237,57691,1000000
49025,3,1,35,137,57691,1000000
163511,21,1,13,128,57692,1000000
152344,12,1,19,140,57692,1000000
153411,8,1,98,145,57693,1000000
208340,29,1,19,333,57693,107
73179,1,1,13,134,57693,1000000
189361,35,1,13,21,57693,31190
166884,18,3032,607,107,57694,1000000
178851,2,2,19,205,57694,1000000
114526,15,1,13,111,57695,1000000
54841,18,1,19,121,57695,1000000
99054,115,1,20,203,57696,153
109734,9,1,13,215,57696,1000000
157702,84,0,38,101,57696,437
92410,14,1,17,123,57697,1000000
103087,35,1,9,21,57697,61782
199819,9,1,13,442,57697,31772
128339,29,1,13,213,57697,63
170284,136,0,0,268,57697,160
127081,3,1,8,452,57697,1000000
194059,29,1,19,213,57697,165
162342,45,1,10,213,57698,409
169926,19,0,21,347,57698,285
104470,1,1,22,134,57698,1000000
68695,9,1,10,134,57698,1000000
71128,18,1,1,121,57699,1000000
190797,19,0,24,213,57699,125
35308,2,1,19,469,57699,1000000
15221,19,0,24,343,57699,33165
163577,9,1,40,215,57699,46469
165544,261,0,21,243,57699,80
137656,15,1,37,140,57700,1000000
42948,1,1,12,150,57700,1000000
164143,29,1,40,213,57700,197
79881,18,2,10,121,57701,1000000
154673,8,1,22,145,57701,1000000
493,1,1,13,134,57702,1000000
84896,15,1,13,245,57702,1000000
145787,9,1,13,215,57702,54253
121130,2,1,8,477,57703,1000000
204379,64,1,25,459,57703,1000000
161075,17,1,13,280,57703,62846
172209,2,1,14,477,57704,1000000
125204,9,1,15,442,57704,1000000
27090,18,1,19,134,57705,1000000
202763,29,1,19,213,57705,39
114739,3,1,9,130,57705,1000000
36553,9,1,19,215,57706,1000000
41025,2,1,25,477,57706,1000000
8876,8,1,18,145,57707,41504
62765,19,0,24,347,57707,827
5314,15,2,13,140,57707,1000000
205835,8,1,18,145,57707,1000000
66873,19,0,21,347,57708,44135
199592,125,0,607,341,57708,7148
202954,8,1,19,145,57708,1000000
49025,12,1,18,140,57708,1000000
205466,9,1,19,134,57709,30011
140149,12,1,20,245,57709,1000000
190032,34,1,19,243,57709,602
136161,105,1,19,451,57709,149
168945,9,1,17,215,57710,1000000
73516,12,2,13,326,57710,1000000
91661,9,1,19,215,57710,732
108872,6,1,17,125,57711,1000000
100275,9,1,19,134,57711,1000000
13034,18,1,22,121,57712,1000000
202323,3,1,6,130,57712,1000000
191780,8,1,19,145,57713,1000000
11632,35,1,10,21,57713,40425
121885,15,1,56,245,57713,1000000
146757,72,1,19,101,57713,1676
175837,15,2,17,259,57714,1000000
201518,8,1,15,145,57714,1000000
75628,15,1,32,140,57714,1000000
166465,37,1,13,282,57715,1440
60136,2,1,53,205,57715,1000000
76324,29,1,19,210,57715,52576
128099,51,0,21,203,57715,87
153655,29,1,19,213,57716,54
39838,12,1,25,140,57716,1000000
19709,35,1,41,274,57716,737
184633,26,1,9,266,57716,40328
4876,9,1,9,215,57716,1000000
106598,3,1,13,280,57717,1000000
158730,9,1,13,234,57717,2913
93021,18,1,19,121,57717,1000000
156244,66,1,8,101,57717,128
25737,9,1,14,215,57718,1000000
196668,121,1,22,203,57718,213
70566,50,3033,0,213,57718,62472
23260,18,1,13,107,57718,1000000
31267,6,1,6,125,57719,1000000
82287,50,0,29,213,57719,45717
124291,15,1,18,245,57719,1000000
198022,19,0,21,213,57720,77
66098,19,95,21,282,57720,96
197966,19,0,0,213,57720,43
95766,18,1,3,439,57720,1000000
100160,18,1,16,121,57720,1000000
188844,108,1,14,243,57721,23
84301,14,1,83,463,57721,1000000
64543,35,1,17,21,57721,35193
81716,19,18,0,213,57721,602
106598,12,1,13,178,57722,1000000
72864,12,1,23,259,57722,1000000
128044,9,1,13,253,57723,1000000
31304,9,1,17,134,57723,1000000
109147,19,0,38,210,57724,54839
94001,9,1,15,215,57724,1000000
141620,3,1,6,442,57725,1000000
109358,35,1,20,21,57725,68241
105553,3,1,17,480,57725,1000000
150889,18,3032,607,107,57726,1000000
32677,3,1,8,110,57726,1000000
105157,35,1,19,274,57726,1393
159775,27,1,18,153,57727,1000000
43881,15,1,22,386,57727,1000000
175780,8,1,19,145,57727,1000000
61970,18,1,13,107,57728,3183
23260,8,1,22,145,57728,1000000
133375,19,0,38,213,57728,68
18648,9,1,19,215,57728,1000000
30564,18,1,8,107,57729,28873
25150,64,1,10,459,57729,1000000
103801,35,1,19,21,57729,32300
179554,19,0,21,213,57729,35
70226,12,2,32,245,57729,1000000
148550,19,0,29,213,57729,43
209798,18,1,19,439,57730,1000000
141487,1,1,18,134,57730,1000000
56805,35,1,13,21,57731,28773
103183,19,0,38,213,57731,23244
3611,13,1,19,477,57731,1000000
161051,72,1,19,101,57731,141
97716,9,1,13,442,57732,29
41483,9,1,41,215,57732,1000000
208022,15,1,41,140,57732,1000000
158634,71,1,19,3,57732,40
87609,15,1,13,245,57733,1000000
193654,19,6,29,213,57733,47
41666,9,1,19,215,57733,1000000
107566,19,0,0,347,57734,27678
61623,15,1,13,111,57734,1000000
7093,9,1,9,134,57734,1000000
154183,6,1,19,125,57735,1000000
53454,15,1,41,140,57735,1000000
92852,11,1,8,122,57735,32207
176509,19,37,24,213,57735,51
136433,19,38,0,213,57736,63041
9964,6,1,3,459,57736,1000000
200864,29,1,6,213,57736,80
38484,65,1,10,107,57736,1000000
124608,18,1,15,439,57737,1000000
73954,150,1,19,110,57737,32265
85188,14,2,13,123,57738,1000000
120663,150,1,19,110,57738,49262
20961,3,1,47,480,57738,1000000
153610,8,1,19,145,57739,36196
74987,15,1,8,140,57739,1000000
73516,19,0,50,282,57739,303
147164,9,1,6,134,57739,1000000
9590,22,1,10,116,57740,1000000
175932,14,1,40,439,57740,31
22037,9,1,37,215,57740,1000000
30173,8,1,17,145,57740,38601
126824,1,1,1,452,57740,21
93738,35,1,18,21,57741,55210
122949,18,1,19,134,57741,1000000
116550,3,1,22,424,57741,1000000
108783,35,1,3,274,57742,2185
11924,15,1,13,245,57742,1000000
194308,8,1,19,145,57742,583
52557,8,1,19,145,57742,1000000
130824,15,1,8,140,57743,1000000
73516,15,2,8,245,57743,1000000
165585,19,0,24,347,57744,49798
69691,3,1,13,280,57744,1000000
204731,34,1,19,243,57744,63096
123889,27,1,13,153,57744,1000000
24893,15,1,13,315,57745,1000000
131861,20,1,19,259,57745,51195
134686,35,1,13,21,57745,75269
157308,19,49,21,333,57745,91
114276,23,1,47,153,57745,1000000
175600,29,1,22,213,57746,95
80155,1,1,15,134,57746,1000000
99906,12,1,18,245,57747,1000000
96832,35,1,13,21,57747,26124
191355,35,1,18,274,57747,6230
116913,1,1,18,134,57747,1000000
32335,11,1,13,319,57747,30027
70998,3,1,13,442,57748,1000000
71593,19,0,21,213,57748,5233
43793,72,1,19,101,57748,31543
34928,8,1,13,145,57748,1000000
48708,23,1,19,153,57749,1000000
81401,19,21,24,101,57749,72
36968,5,1,13,377,57749,53803
17329,15,1,35,140,57749,1000000
41949,9,1,22,232,57749,31679
114915,18,1,6,121,57750,1000000
103264,13,1,18,477,57750,1000000
100929,9,2,41,134,57751,1000000
201775,3,1,28,173,57751,41
94546,18,1,19,121,57751,1000000
153061,9,1,19,215,57751,132
9629,8,1,37,145,57752,1000000
185076,5,1,49,113,57752,30
82045,14,1,19,463,57752,1000000
190408,19,63,84,347,57752,782
124541,3,1,13,280,57753,1000000
67325,21,1,13,128,57753,1000000
87599,19,0,29,213,57754,114
104930,18,1,13,107,57754,1000000
149301,29,1,19,213,57754,130
144384,20,1,19,259,57754,1000000
188143,15,1,53,245,57755,1000000
81060,19,0,607,347,57755,26483
172209,2,1,14,477,57755,1000000
5734,18,1,8,121,57756,1000000
133461,18,1,25,121,57756,1000000
19831,35,1,18,21,57756,71202
26916,150,1,19,110,57757,1000000
85987,3,1,19,173,57757,1000000
179604,19,0,29,213,57758,72
108561,9,1,46,134,57758,1000000
42478,9,2,22,232,57758,1000000
91885,12,1,19,245,57759,1000000
94105,6,1,18,125,57759,1000000
86767,15,1,19,412,57760,1000000
66686,19,351,21,213,57760,63635
163167,20,1,19,259,57760,1000000
114083,9,1,35,134,57761,1000000
172225,121,1,19,203,57761,248
145031,15,1,19,430,57761,8109
80992,12,1,10,212,57761,1000000
48062,15,1,10,245,57762,1000000
69572,3,1,18,173,57762,1000000
131731,72,1,8,101,57762,49
161447,34,1,22,243,57763,1641
155506,8,1,22,145,57763,1000000
173861,9,1,22,134,57763,1942
24197,3,1,9,205,57763,1000000
142635,2,1,19,258,57764,1000000
1439,19,0,24,213,57764,8
22866,9,1,13,466,57764,1000000
116461,35,1,20,21,57764,35938
103264,12,1,18,205,57765,54460
95924,2,1,13,212,57765,1000000
58708,2,1,10,477,57765,1000000
112456,24,1,20,105,57766,1000000
149694,15,1,13,245,57766,1000000
210752,35,1,19,21,57767,41025
92735,9,1,22,134,57767,101
77048,14,1,20,123,57767,1000000
92719,9,1,41,215,57767,1000000
52010,9,1,25,234,57768,1000000
83366,12,1,23,424,57768,1000000
69487,2,1,14,237,57769,1000000
188607,19,0,24,213,57769,59530
118229,2,1,37,258,57770,1000000
137880,19,969,38,213,57770,56
5729,9,1,13,215,57770,1000000
165546,9,1,47,215,57771,1000000
70677,18,1,16,439,57771,1000000
109738,8,1,17,145,57771,33742
44335,19,0,0,213,57771,42565
114146,2,1,19,212,57772,1000000
114878,2,1,18,205,57772,1000000
135731,29,1,15,213,57772,18846
27884,2,1,19,435,57773,1000000
53040,19,0,38,213,57773,587
136026,84,0,607,101,57773,34
126677,1,1,13,134,57773,1000000
84774,8,1,23,145,57774,74049
100303,12,1,18,245,57774,1000000
158009,21,2,18,128,57774,10328
64673,2,1,13,122,57774,1000000
15114,15,1,13,140,57775,1000000
139894,1,1,6,137,57775,44
25588,2,1,13,205,57775,1000000
974,19,46,0,213,57776,1470
143638,36,1,13,110,57776,44785
4364,3,1,13,137,57776,1000000
132182,19,0,0,213,57776,772
67313,60,1,13,21,57776,54288
186875,15,1,6,315,57776,32
111122,8,1,13,145,57777,1000000
188301,15,1,13,278,57777,1000000
95501,35,1,20,274,57777,25512
118412,18,1,25,439,57777,122
154979,8,1,18,145,57777,37146
167725,19,56,24,213,57777,214
87940,35,1,12,21,57778,68518
199327,14,1,17,463,57778,1000000
173398,19,0,38,213,57778,1028
119585,12,1,18,259,57778,1000000
177273,19,0,21,213,57778,119
63205,19,0,24,213,57779,129
58607,15,1,19,245,57779,1000000
164216,8,1,19,145,57779,36721
2666,19,0,0,213,57779,68450
119125,9,1,17,215,57779,1000000
18942,3,2,15,137,57780,1000000
29489,18,1,3,121,57780,1000000
111021,8,1,13,145,57781,1000000
128812,24,1,19,105,57781,1000000
168172,64,1,13,459,57782,1081
99754,2,1,4,477,57782,1000000
144505,9,1,27,442,57783,1000000
208669,20,1,19,478,57783,12359
112568,12,1,41,178,57783,1000000
183087,2,1,18,364,57784,1000000
42143,10,1,13,113,57784,34670
201775,1,1,28,349,57784,40
96457,9,1,14,134,57784,1000000
210444,9,1,19,244,57785,1000000
90691,35,1,19,21,57785,1327
197226,36,1,9,128,57785,99
211839,12,1,53,242,57786,1000000
116913,78,1410,67,224,57786,824
76885,15,1,13,245,57786,1000000
202343,10,1,17,113,57786,32
17282,15,1,19,245,57786,1000000
75895,35,1,19,274,57787,1737
45505,2,1,10,258,57787,1000000
211552,19,78,0,213,57787,116
6330,8,1,13,145,57788,1000000
175490,19,0,24,213,57788,50544
201766,3,1,8,489,57788,1000000
131795,19,405,21,282,57788,161
92769,15,1,19,245,57789,1000000
166650,72,1,41,101,57789,57
122038,3,1,19,110,57789,1000000
77048,9,1,19,215,57790,1000000
52798,18,1,13,439,57790,1000000
150596,1,1,32,135,57791,1000000
17149,15,1,8,412,57791,1000000
1074,9,1,3,232,57792,1000000
91526,19,0,0,213,57792,88
155893,34,1,19,243,57792,169
195930,3,1,13,130,57792,77538
99754,9,1,19,134,57793,1000000
197180,19,18,0,213,57793,64
31842,19,0,38,347,57793,29127
73954,2,1,13,477,57793,1000000
133912,115,1,19,203,57793,1678
142672,3,1,13,137,57794,1000000
1890,8,1,19,145,57794,1000000
132017,19,350,21,213,57795,115
3139,9,1,13,215,57795,1000000
25818,2,1,19,205,57796,1000000
18753,9,1,22,134,57796,1000000
178014,35,1,17,274,57796,66151
180668,19,0,21,213,57797,159
124677,536,1,20,21,57797,1000000
97197,2,1,19,477,57797,372
182374,9,1,17,442,57797,1000000
160650,190,1,13,101,57798,126
44267,9,1,2,134,57798,1000000
103337,3,2,9,110,57798,1000000
148788,9,1,17,244,57799,1000000
191988,9,1,13,215,57800,1000000
154055,120,0,21,213,57800,231
73646,18,1,8,121,57800,71928
81807,9,1,66,234,57800,1000000
142444,19,50,0,213,57800,65150
36370,13,1,19,400,57801,6779
153339,35,1,25,274,57801,12288
154299,108,1,16,243,57801,164
100275,6,1,11,125,57801,1000000
147590,35,1,19,274,57801,29873
137760,20,1,19,259,57801,1000000
35557,14,1,10,123,57802,1000000
44527,15,2,70,245,57803,1000000
164713,29,1,19,213,57803,806
23700,35,1,19,274,57803,3722
146259,29,1,19,101,57803,140
173674,12,1,19,245,57803,1000000
88283,29,1,18,101,57803,41
205972,1,1,13,134,57804,1000000
168925,19,30,0,213,57804,34511
71671,15,1,35,480,57805,1000000
133522,3,1,13,409,57805,1000000
57351,19,0,24,213,57806,43
68420,2,1,19,122,57806,1000000
162184,19,0,21,213,57806,58
149694,12,1,13,245,57806,1000000
135362,115,1,25,203,57806,748
116001,8,1,15,145,57807,1000000
73487,3,1,13,153,57807,1000000
211684,35,1,13,274,57808,46965
96955,8,1,17,145,57808,1000000
50528,51,89,21,203,57808,95
67975,29,1,25,213,57808,177
146632,79,1,19,213,57808,538
7754,1,1,19,134,57808,1000000
105560,18,3032,607,107,57809,1000000
105154,2,1,9,477,57810,1000000
108260,19,0,24,213,57810,60975
25614,6,1,14,125,57810,1000000
62140,12,1,8,245,57811,1000000
105323,2,1,22,205,57811,1000000
194995,3,1,13,211,57812,1000000
108075,9,1,17,234,57813,1000000
110090,35,1,17,274,57813,7430
198740,72,1,13,101,57813,120
76872,2,1,17,435,57813,1000000
21601,36,1,17,110,57814,27284
147616,12,1,16,259,57814,1000000
155414,24,1,13,105,57814,1000000
7094,9,2,9,234,57815,1000000
69411,15,1,13,245,57815,8545
169106,29,1,12,213,57815,261
132948,29,1,19,213,57815,495
106426,15,1,19,111,57815,1000000
98207,19,0,24,347,57816,7187
116065,2,1,19,469,57816,1000000
26995,19,217,76,213,57817,1000000
80356,18,1,19,121,57817,106
135487,122,1,13,21,57817,89
167200,6,1,32,125,57817,1000000
2513,12,1,18,178,57818,1000000
61584,3,1,19,137,57818,1000000
141684,3,1,19,135,57819,1000000
188159,3,1,17,466,57819,70162
5348,3,1,3,424,57819,1000000
114518,29,1,10,213,57820,49
109850,19,0,50,213,57820,214
55808,13,1,3,469,57820,1000000
176363,29,1,13,213,57821,1000000
208350,79,1,13,213,57821,2635
32391,8,1,23,145,57821,1000000
108607,9,1,19,134,57822,1000000
76571,3,1,12,115,57822,1000000
206636,19,657,24,213,57823,69
63205,8,1,13,145,57823,1000000
22196,19,0,21,213,57823,39
106267,11,1,53,325,57824,1000000
145988,20,1,6,259,57824,1000000
185013,115,1,13,203,57824,1142
43200,2,1,25,477,57825,1000000
201279,29,1,13,213,57825,51
80522,3,1,13,280,57825,1000000
79737,19,0,24,213,57826,80
11450,9,1,18,232,57826,1000000
201182,12,1,10,265,57827,1000000
75540,35,1,17,21,57827,37262
111021,8,1,13,145,57827,5027
193533,19,240,21,213,57827,325
62863,15,1,10,480,57827,1000000
184011,66,1,19,101,57828,731
137589,84,0,21,101,57828,162
192697,15,1,41,315,57828,1000000
131949,15,1,19,245,57828,1000000
142431,18,1,15,121,57829,1000000
194308,12,1,17,245,57829,1000000
76681,2,1,13,477,57830,1000000
14591,2,1,19,205,57831,1000000
55791,8,1,27,145,57831,1000000
21805,9,1,13,244,57832,54156
43855,9,1,19,215,57832,1000000
133334,9,1,19,234,57832,43520
90855,45,1,19,411,57832,72356
47852,8,1,8,145,57832,1000000
73487,3,1,19,424,57833,1000000
